dátum;nagydíj;helyezés;befejezett_kör;pont;konstruktőr;Célba_ért;körhátrány;Hiba_oka
2001.03.04;Ausztrál Nagydíj;6;58;1;Sauber;I;0;
2001.03.18;Malajziai Nagydíj;;0;0;Sauber;N;;Hajtóműtengely
2001.04.01;Brazil Nagydíj;;55;0;Sauber;N;;Kipördült
2001.04.15;San Marinói Nagydíj;;17;0;Sauber;N;;Kormányzás
2001.04.29;Spanyol Nagydíj;8;65;0;Sauber;I;0;
2001.05.13;Osztrák Nagydíj;4;71;3;Sauber;I;0;
2001.05.27;Monacói Nagydíj;10;73;0;Sauber;I;5;
2001.06.10;Kanadai Nagydíj;4;69;3;Sauber;I;0;
2001.06.24;Európai Nagydíj;10;66;0;Sauber;I;1;
2001.07.01;Francia Nagydíj;7;71;0;Sauber;I;1;
2001.07.15;Brit Nagydíj;5;59;2;Sauber;I;1;
2001.07.29;Német Nagydíj;;16;0;Sauber;N;;Féltengely
2001.08.19;Magyar Nagydíj;7;76;0;Sauber;I;1;
2001.09.02;Belga Nagydíj;;0;0;Sauber;N;;Sebességváltó
2001.09.16;Olasz Nagydíj;7;53;0;Sauber;I;0;
2001.09.30;Egyesült Államok Nagydíja;;2;0;Sauber;N;;Hajtóműtengely
2001.10.14;Japán Nagydíj;;5;0;Sauber;N;;Ütközés
2002.03.03;Ausztrál Nagydíj;3;58;4;McLaren;I;0;
2002.03.17;Malajziai Nagydíj;;24;0;McLaren;N;;Motor
2002.03.31;Brazil Nagydíj;12;67;0;McLaren;N;;Keréktárcsa
2002.04.14;San Marinói Nagydíj;;44;0;McLaren;N;;Kipufogó
2002.04.28;Spanyol Nagydíj;;4;0;McLaren;N;;Hátsó szárny
2002.05.12;Osztrák Nagydíj;;5;0;McLaren;N;;Motor
2002.05.26;Monacói Nagydíj;;41;0;McLaren;N;;Ütközés
2002.06.09;Kanadai Nagydíj;4;70;3;McLaren;I;0;
2002.06.23;Európai Nagydíj;3;60;4;McLaren;I;0;
2002.07.07;Brit Nagydíj;;44;0;McLaren;N;;Motor
2002.07.21;Francia Nagydíj;2;72;6;McLaren;I;0;
2002.07.28;Német Nagydíj;;59;0;McLaren;N;;Kipördült
2002.08.18;Magyar Nagydíj;4;77;3;McLaren;I;0;
2002.09.01;Belga Nagydíj;;35;0;McLaren;N;;Motor
2002.09.15;Olasz Nagydíj;;29;0;McLaren;N;;Motor
2002.09.29;Egyesült Államok Nagydíja;;50;0;McLaren;N;;Motor
2002.10.13;Japán Nagydíj;3;53;4;McLaren;I;0;
2003.03.09;Ausztrál Nagydíj;3;58;6;McLaren;I;0;
2003.03.23;Malajziai Nagydíj;1;56;10;McLaren;I;0;
2003.04.06;Brazil Nagydíj;2;54;8;McLaren;I;0;
2003.04.20;San Marinói Nagydíj;2;62;8;McLaren;I;0;
2003.05.04;Spanyol Nagydíj;;0;0;McLaren;N;;Ütközés
2003.05.18;Osztrák Nagydíj;2;69;8;McLaren;I;0;
2003.06.01;Monacói Nagydíj;2;78;8;McLaren;I;0;
2003.06.15;Kanadai Nagydíj;6;70;3;McLaren;I;0;
2003.06.29;Európai Nagydíj;;25;0;McLaren;N;;Motor
2003.07.06;Francia Nagydíj;4;70;5;McLaren;I;0;
2003.07.20;Brit Nagydíj;3;60;6;McLaren;I;0;
2003.08.03;Német Nagydíj;;0;0;McLaren;N;;Baleset
2003.08.24;Magyar Nagydíj;2;70;8;McLaren;I;0;
2003.09.14;Olasz Nagydíj;4;53;5;McLaren;I;0;
2003.09.28;Egyesült Államok Nagydíja;2;73;8;McLaren;I;0;
2003.10.12;Japán Nagydíj;2;53;8;McLaren;I;0;
2004.03.07;Ausztrál Nagydíj;;9;0;McLaren;N;;Motor
2004.03.21;Malajziai Nagydíj;;40;0;McLaren;N;;Sebességváltó
2004.04.04;Bahreini Nagydíj;;7;0;McLaren;N;;Motor
2004.04.25;San Marinói Nagydíj;8;61;1;McLaren;I;1;
2004.05.09;Spanyol Nagydíj;11;65;0;McLaren;I;1;
2004.05.23;Monacói Nagydíj;;27;0;McLaren;N;;Pneumatika
2004.05.30;Európai Nagydíj;;9;0;McLaren;N;;Motor
2004.06.13;Kanadai Nagydíj;5;69;4;McLaren;I;1;
2004.06.20;Egyesült Államok Nagydíja;6;72;3;McLaren;I;1;
2004.07.04;Francia Nagydíj;7;70;2;McLaren;I;0;
2004.07.11;Brit Nagydíj;2;60;8;McLaren;I;0;
2004.07.25;Német Nagydíj;;13;0;McLaren;N;;Hátsó szárny
2004.08.15;Magyar Nagydíj;;13;0;McLaren;N;;Elektromos
2004.08.29;Belga Nagydíj;1;44;10;McLaren;I;0;
2004.09.12;Olasz Nagydíj;;13;0;McLaren;N;;Motor
2004.09.26;Kínai Nagydíj;3;56;6;McLaren;I;0;
2004.10.10;Japán Nagydíj;6;53;3;McLaren;I;0;
2004.10.24;Brazil Nagydíj;2;71;8;McLaren;I;0;
2005.03.06;Ausztrál Nagydíj;8;57;1;McLaren;I;0;
2005.03.20;Malajziai Nagydíj;9;56;0;McLaren;I;0;
